 	New York	Alaska	Georgia	Maryland	Louisiana	Montana	North Dakota	Idaho	Massachusetts	Nevada	West Virginia	Wyoming	South Carolina	Ohio	Colorado	Iowa	Pennsylvania	Connecticut	Hawaii	Texas	Indiana	Mississippi	Missouri	Michigan	Nebraska	Arkansas	Kentucky	Wisconsin	New Hampshire	Alabama	Vermont	Tennessee	Oklahoma	Washington	Arizona	Maine	Rhode Island	North Carolina	Virginia	California	Minnesota	Oregon	Utah	New Mexico	South Dakota	Illinois	Florida	Kansas	New Jersey	Delaware
South Carolina	894.74	4832.74	224.21	553.04	776.07	2283.18	2025.23	2939.07	995.93	2906.05	421.40	2180.30		606.12	2077.12	1300.53	630.28	865.81	3336.03	1318.77	653.71	616.81	1285.72	921.53	1408.45	994.44	547.53	1306.39	1034.63	378.99	3443.19	2312.15	1360.20	3476.40	2150.46	1096.11	948.41	256.44	405.53	2913.54	1576.66	3410.42	2601.39	2048.34	1580.30	976.09	406.97	1342.68	687.99	620.41
Ohio	698.57	4087.93	799.45	428.02	1318.24	1692.40	1280.42	2400.01	955.88	2980.04	185.57	1434.26	604.16		2151.11	685.86	417.36	825.76	3575.28	1392.76	239.40	965.44	843.86	258.57	966.59	839.93	350.93	561.58	994.58	812.44	1272.31	937.95	1434.19	2937.34	2224.45	1056.06	908.36	646.67	495.08	2987.53	831.85	2871.35	2675.38	2122.32	960.83	537.52	1013.53	900.83	535.91	506.03
Colorado	1982.75	3511.75	1870.91	2468.55	1521.11	551.86	954.63	863.81	2240.06	996.76	2057.61	100.20	2092.15	2162.33		670.08	2446.22	2109.94	1096.21	1219.16	2032.97	1481.99	602.85	1366.53	486.38	1327.28	1926.79	950.70	2278.76	1726.05	3476.40	853.31	867.21	1401.15	900.14	2340.24	2192.54	2495.41	2366.62	1128.60	877.30	1335.16	526.14	392.30	636.16	912.67	1911.87	539.30	2564.77	2535.91
Iowa	1326.43	3489.68	1100.88	1227.81	1011.27	1036.09	676.87	1743.69	1583.74	1660.53	1039.63	629.02	1336.71	815.81	670.11		1174.59	1453.62	2634.06	986.27	592.04	1266.88	199.44	710.21	189.19	914.72	731.36	281.32	1622.44	1113.88	2937.34	897.89	572.49	2281.02	1802.05	1683.92	1536.22	1477.43	1348.65	1792.37	244.88	2215.03	1189.91	1016.95	280.68	324.91	1314.96	258.87	1364.92	1385.60
Pennsylvania	354.45	4486.63	834.09	79.02	1596.57	2091.10	1679.12	2798.70	455.64	3258.37	386.85	1832.96	629.06	414.99	2429.44	1084.56		325.52	2756.80	1671.09	720.47	1243.77	1242.56	621.79	1365.29	1118.26	634.96	960.28	494.34	1090.77	1401.15	3023.34	1712.52	3336.03	2502.78	555.82	408.12	434.99	228.87	3265.86	1230.55	3270.05	2953.72	2400.66	1359.53	936.21	983.44	1299.52	143.40	94.78
Connecticut	102.13	4725.87	1073.75	319.85	2146.23	2330.34	1918.36	3037.94	134.07	3808.02	713.62	2072.20	868.71	830.86	2085.57	1323.80	330.49		2861.44	2220.74	959.71	1793.43	1481.80	861.04	1604.53	1667.92	1071.24	1199.52	172.77	1640.43	2281.02	278.80	2262.18	3575.28	3052.43	234.25	86.55	674.64	468.52	3815.52	1469.79	3509.29	2605.37	2950.31	1598.77	1175.45	1223.09	1538.76	185.99	251.53
Hawaii	3230.29	4477.41	7224.89	7792.75	2123.12	212.45	521.30	1002.32	8171.81	1822.32	1038.23	2012.90	2002.20	2010.12	5371.40	2196.32	902.12	1102.67		6263.11	6976.62	2322.56	3493.43	3221.43	2233.35	552.50	3023.45	502.21	1055.21	901.67	3336.03	724.28	705.32	1096.21	4674.19	4173.02	1583.63	660.56	1353.45	445.64	1428.92	1306.04	1054.49	2649.05	1840.02	1286.96	780.79	449.82	724.18	471.23
Texas	2052.90	4744.66	961.81	1703.22	612.16	1789.62	2192.39	2096.73	2310.22	2063.70	1292.28	1337.95	1183.06	1397.01	1234.77	971.43	1680.89	2180.09	1961.77		1267.65	572.90	774.43	1535.47	955.38	561.96	1161.47	1342.96	2348.92	816.96	3575.28	1374.77	517.86	2634.06	1308.11	2410.40	2262.69	1730.08	1601.30	2071.19	1613.23	2568.07	1759.05	1205.99	1140.81	1008.56	1002.78	812.54	1799.45	1770.59
Indiana	827.66	3907.40	670.39	654.73	1189.18	1511.87	1099.89	2219.47	1084.97	2850.98	359.31	1168.56	656.39	239.65	2022.05	505.33	675.82	954.85	246.76	1263.70		836.38	578.16	275.82	700.89	710.87	114.19	381.05	1123.67	683.38	1096.21	858.79	1305.13	2756.80	2095.39	1185.15	1037.44	797.11	668.33	2858.47	651.32	2690.82	2546.32	1993.27	780.30	268.53	884.47	635.12	866.15	886.82
Mississippi	1619.13	4972.04	392.18	1269.45	162.71	2016.99	2419.76	2324.10	1876.45	2291.08	858.51	1565.33	613.43	963.24	1462.15	955.83	1247.13	1746.32	1134.13	703.80	833.88		758.83	1101.70	953.36	291.77	727.70	1273.56	1915.15	247.33	2634.06	950.46	745.23	2861.44	1535.49	1976.63	1828.92	992.80	1167.53	2298.57	1543.83	2795.45	1986.43	1433.37	1125.22	943.26	433.15	815.66	1365.68	1336.82
Missouri	1379.54	3707.11	1085.44	1280.93	814.03	1068.62	761.94	1462.82	1636.85	1595.78	1024.19	661.56	1321.27	868.92	602.93	199.66	1227.71	1506.73	2000.16	789.03	576.60	774.91		763.33	193.89	414.91	715.92	645.36	1675.56	1098.44	2756.80	2294.25	375.25	2000.16	1604.81	1737.03	1589.33	1461.99	1333.20	2367.89	443.63	1934.17	1125.15	904.90	365.75	309.47	1299.52	62.54	1418.04	1438.71
Michigan	729.58	3978.54	943.42	630.96	1462.22	1583.01	1171.03	2290.61	986.89	3124.01	446.78	1324.87	929.43	270.13	1338.24	576.47	577.74	856.77	2827.95	1536.73	275.70	1109.42	734.47		857.20	983.91	387.23	452.19	1025.59	956.42	2861.44	4274.28	1578.17	2827.95	2368.42	1087.07	939.37	1070.15	734.82	3131.50	722.46	2761.96	1858.04	2266.30	851.44	428.13	1157.51	791.43	768.07	788.75
Nebraska	1502.12	3490.71	1208.02	1403.50	1008.08	852.22	616.86	1559.83	1759.43	1476.67	1146.76	445.16	1443.84	991.50	486.25	189.28	1350.28	1629.31	2097.16	983.08	699.17	968.96	193.02	885.90		608.96	838.49	469.90	1798.13	1221.01	2000.16	441.89	436.58	2097.16	1666.14	1859.61	1711.91	1584.56	1455.78	1608.51	435.75	2031.17	1006.05	832.13	228.90	432.04	1422.10	165.19	1540.61	1561.29
Arkansas	1494.17	4825.64	795.03	1144.49	482.88	1870.59	1176.98	2177.70	1751.48	2144.68	733.54	1418.93	1030.62	838.27	1315.75	719.42	1122.16	1621.36	2715.03	557.40	708.91	294.29	414.40	976.73	608.93		602.73	784.22	1790.18	538.35	2827.95	837.27	598.83	2715.03	1389.09	1851.66	1703.96	1171.34	1042.56	2152.17	1054.49	2649.05	1840.02	1286.96	780.79	449.82	724.18	471.23	1240.71	1211.85
Kentucky	934.53	4022.77	556.18	656.05	1074.98	1627.24	1215.26	2769.80	1191.84	2736.77	245.11	1306.98	542.19	285.10	1907.84	620.70	633.72	1061.72	3307.13	1149.49	114.87	722.18	716.58	382.70	839.31	596.67		496.42	1230.54	569.18	1981.18	661.05	1190.93	3307.13	1981.18	1292.02	1144.32	682.91	554.12	2744.27	766.69	3241.14	2432.12	1879.06	895.67	406.95	770.27	773.54	973.02	723.41
Wisconsin	1192.61	3533.39	1032.65	1093.99	1324.79	1137.87	725.89	1845.47	1449.92	2205.84	971.39	910.19	1268.47	681.99	951.27	281.08	1040.78	1319.80	2382.80	1399.31	500.09	1198.64	567.97	576.40	470.35	846.48	663.12		1488.62	1045.64	2231.00	2697.70	941.02	2382.80	2231.00	1550.10	1402.40	1409.19	1280.41	2994.08	277.32	2316.82	1778.39	2128.87	411.84	261.63	1246.73	624.93	1231.11	1251.78
